Study_ID|Celltype_1,Study_ID|Celltype_2,best_AUROC,Mean_AUROC,Match_type
Zeng|91,Macosko|Ex_Fezf2_Cdc25c_3,0.9521100506650206,0.9521100506650206,Reciprocal_top_hit
Zeng|1077,Macosko|Ex_Fezf2_Cfap58_1,0.988964066215231,0.988964066215231,Reciprocal_top_hit
Zeng|394,Macosko|Ex_Fezf2_Chrna6,0.9939803855327044,0.9939803855327044,Reciprocal_top_hit
Zeng|1339,Macosko|Ex_Fezf2_Cnksr3_Areg,0.8389593808398054,0.8389593808398054,Reciprocal_top_hit
Zeng|66,Macosko|Ex_Fezf2_Col6a1_Gp139_Fos,0.9783599105703924,0.9783599105703924,Reciprocal_top_hit
Zeng|738,Macosko|Ex_Fezf2_Dlk1_A730049H05Rik,0.9724584024231636,0.9724584024231636,Reciprocal_top_hit
Zeng|126,Macosko|Ex_Fezf2_Dlk1_Meis2,0.9980143103790072,0.9980143103790072,Reciprocal_top_hit
Zeng|443,Macosko|Ex_Fezf2_Fibcd1_Fos_Sema3e,0.9897190759359484,0.9897190759359484,Reciprocal_top_hit
Zeng|372,Macosko|Ex_Fezf2_Fn1_Mctp2,0.9931040454581485,0.9931040454581485,Reciprocal_top_hit
Zeng|289,Macosko|Ex_Fezf2_Hc,0.9747164208181996,0.9747164208181996,Reciprocal_top_hit
Zeng|402,Macosko|Ex_Fezf2_Hmga2_Gfra2,0.9949673041328834,0.9949673041328834,Reciprocal_top_hit
Zeng|204,Macosko|Ex_Fezf2_Hmga2_Ttc6,0.996968150893565,0.996968150893565,Reciprocal_top_hit
Zeng|182,Macosko|Ex_Fezf2_Il22,0.9885910437923948,0.9885910437923948,Reciprocal_top_hit
Zeng|4628,Macosko|Ex_Fezf2_Lhx9_3,0.991732558526364,0.991732558526364,Reciprocal_top_hit
Zeng|121,Macosko|Ex_Fezf2_Lipm,0.989425787001016,0.989425787001016,Reciprocal_top_hit
Zeng|87,Macosko|Ex_Fezf2_Pvalb_Pirt,0.9718252761600402,0.9718252761600402,Reciprocal_top_hit
Zeng|5088,Macosko|Ex_Fezf2_Spaar,0.9898275094244914,0.9898275094244914,Reciprocal_top_hit
Zeng|41,Macosko|Ex_Fezf2_Tmem255b_1,0.9474130674276636,0.9474130674276636,Reciprocal_top_hit
Zeng|1129,Macosko|Ex_Fezf2_Tmem255b_2,0.9663319047403436,0.9663319047403436,Reciprocal_top_hit
