Macosko_cluster,gene
Inh_Six3_Frem2,Mdfic2
Ex_Zic1_Mybpc1,Cpa6
Inh_Htr3a_Bmp3_2,Slc17a8
Inh_Pax2_Igfbp4,Tfap2b
Chol_Irx4_Matn1_1,Cox5b
Ex_Lhx2_Nek11_1,Serpine2
Ex_Tfap2d_Erfl,Snorc
Ex_Lhx9_Tyrp1_4,Lrrc52
Ex_Phox2b_Cyp39a1_Mdfic2_5,Phox2b
Ex_Pou6f2_Evx2_1,Mafb
Ex_Pou4f2_Sult3a2_11,Npas1
Ex_Plekhg1_Col27a1_C1ql2_1,C1ql2
Ex_Dmrta2_Arhgap36_1,Lmx1a
Inh_Pde11a_Pgm5_1,Tshz2
Inh_Frmd7_Aox3_2,Il1rapl2
Ex_C1ql4_Tekt2,Neurod2
Ex_Pax5_Lnp1_1,Cnih3
Inh_Vwc2l_Otogl1_3,Rgs20
