Study_ID|Celltype_1,Study_ID|Celltype_2,cell_count_celltype_1,cell_count_celltype_2
Macosko|Ex_Samd3_Emx2_3,Zeng|2730,52,60
Macosko|Chol_Tbx20_S100a11_8,Zeng|3892,37,98
Zeng|1387,Macosko|Inh_Plpp4_Fbln5,532,2093
Zeng|587,Macosko|Chol_Ecel1_1700025C18Rik_2,95,50
Zeng|668,Macosko|Inh_Htr3a_Pdzph1_2,87,36
Macosko|Chol_Tbx20_S100a11_6,Zeng|3892,97,98
Zeng|5239,Macosko|OlfactoryEnsheathing_Alx4_Gprc5c,119,60
Zeng|3576,Macosko|Inh_Otx2_Samsn1_1,762,516
Macosko|Inh_Pax2_Olfr920_3,Zeng|4206,63,45
Zeng|2695,Macosko|Ex_Lhx1_Edn1,101,876
Macosko|Inh_Tfap2a_Chrdl2_1,Zeng|4146,33,69
Macosko|Ex_Ebf2_Dmrt2,Zeng|4330,191,379
Macosko|Ex_Ebf2_Gask1b_3,Zeng|4330,89,379
Macosko|Inh_Htr3a_Pdzph1_1,Zeng|668,48,87
Zeng|2402,Macosko|DopEx_Calb1_Trpv1,73,48
Zeng|2996,Macosko|Inh_Sox6_Chrna5_2,84,113
Macosko|Ependymal_Tmem212_Krt15,Zeng|14878,69,301
Zeng|3740,Macosko|Inh_Nkx6-1_Cox8b,22,158
Zeng|4106,Macosko|Inh_Fbxl7_Ankrd1,31,29
Zeng|2872,Macosko|Ex_Iqcj_Ms4a15_7,192,364
Zeng|1383,Macosko|Inh_Plpp4_Ret,455,1206
Zeng|3775,Macosko|Ex_Nkx6-1_Gucy2c_3,74,20
Zeng|2899,Macosko|Ex_Irx2_Cldn23,85,19
Zeng|3879,Macosko|Chol_Tbx20_S100a11_8,26,37
Zeng|3141,Macosko|Inh_Prox1_Dcn_2,75,34
Zeng|3549,Macosko|Inh_Pax7_Ecel1_2,393,504
Zeng|4394,Macosko|Inh_Hoxc4_Fbln2_1,47,79
Zeng|1375,Macosko|Inh_Vip_Trim55_6,232,105
Macosko|Inh_Htr3a_Pdzph1_3,Zeng|668,34,87
Zeng|2377,Macosko|Ex_Lmx1a_Crhbp_5,55,57
Macosko|Inh_Vip_Trim55_3,Zeng|1375,72,232
Zeng|585,Macosko|Chol_Ecel1_Crabp2_2,42,23
Zeng|1820,Macosko|Inh_Pde11a_Atp2c2_1,61,193
Macosko|Inh_Pax2_Olfr920_1,Zeng|4205,89,31
Zeng|4434,Macosko|Inh_Pax2_Postn_2,377,17
Zeng|3935,Macosko|Nor_Phox2b_Prlh,34,131
Zeng|4627,Macosko|Ex_Ebf2_Ifi213_3,105,43
Zeng|2613,Macosko|Ex_Lhx9_Atp8b1_3,34,39
Zeng|2260,Macosko|Ex_Otx2_Dynlrb2,197,57
Zeng|578,Macosko|Chol_Ecel1_Crabp2_2,56,23
Zeng|24586,Macosko|Ex_Pou4f1_Ppp1r1c_2,11,28
