set,cluster_id
Songpeng et al.,664
Songpeng et al.,708
Songpeng et al.,1325
Songpeng et al.,1215
Songpeng et al.,269
Songpeng et al.,1107
Songpeng et al.,5076
Songpeng et al.,5048
Songpeng et al.,5104
Songpeng et al.,3178
Songpeng et al.,4952
Songpeng et al.,2846
Songpeng et al.,3992
Songpeng et al.,4202
Songpeng et al.,3609
Songpeng et al.,29
Songpeng et al.,13
Songpeng et al.,1371
Songpeng et al.,3516
Songpeng et al.,1366
Songpeng et al.,3521
Songpeng et al.,2644
Songpeng et al.,1540
Songpeng et al.,1839
Songpeng et al.,17
Songpeng et al.,846
Songpeng et al.,3271
Songpeng et al.,3381
Songpeng et al.,3553
Songpeng et al.,2563
Songpeng et al.,4125
Songpeng et al.,256
Songpeng et al.,191
Songpeng et al.,207
Songpeng et al.,2187
Songpeng et al.,907
Songpeng et al.,624
Songpeng et al.,732
Songpeng et al.,908
Songpeng et al.,887
Songpeng et al.,980
Songpeng et al.,156
Songpeng et al.,382
Songpeng et al.,3289
Songpeng et al.,3433
Songpeng et al.,2887
Songpeng et al.,2477
Songpeng et al.,264
Songpeng et al.,1428
Songpeng et al.,4267
Songpeng et al.,3531
Songpeng et al.,4940
Songpeng et al.,4948
Songpeng et al.,3813
Songpeng et al.,709
Songpeng et al.,625
Songpeng et al.,729
Songpeng et al.,161
Songpeng et al.,2640
Songpeng et al.,288
Songpeng et al.,16
Songpeng et al.,97
Songpeng et al.,84
Songpeng et al.,934
Songpeng et al.,871
Songpeng et al.,912
Songpeng et al.,852
Songpeng et al.,457
Songpeng et al.,5037
Songpeng et al.,1122
Songpeng et al.,2095
Songpeng et al.,184
Songpeng et al.,186
Songpeng et al.,192
Songpeng et al.,1063
Songpeng et al.,352
Songpeng et al.,5079
Songpeng et al.,677
Songpeng et al.,2209
Songpeng et al.,2878
Songpeng et al.,1447
Songpeng et al.,2096
Songpeng et al.,3464
Songpeng et al.,4663
Songpeng et al.,4826
Songpeng et al.,5018
Songpeng et al.,640
Songpeng et al.,68
Songpeng et al.,1255
Songpeng et al.,597
Songpeng et al.,104
Songpeng et al.,267
Songpeng et al.,1715
Songpeng et al.,4715
Songpeng et al.,837
Songpeng et al.,942
Songpeng et al.,689
Songpeng et al.,1863
Songpeng et al.,933
Songpeng et al.,1991
Songpeng et al.,2153
Songpeng et al.,428
Songpeng et al.,23
Songpeng et al.,1767
Songpeng et al.,2364
Songpeng et al.,1766
Songpeng et al.,1427
Songpeng et al.,3981
Songpeng et al.,4807
Songpeng et al.,3536
Songpeng et al.,4750
Songpeng et al.,34147
Songpeng et al.,34342
Songpeng et al.,5157
Songpeng et al.,3976
Songpeng et al.,4402
Songpeng et al.,3514
Songpeng et al.,5231
Songpeng et al.,829
Songpeng et al.,193
Songpeng et al.,82
Songpeng et al.,557
Songpeng et al.,34
Songpeng et al.,1093
Songpeng et al.,230
Songpeng et al.,2564
Songpeng et al.,4188
Songpeng et al.,1395
Songpeng et al.,1213
Songpeng et al.,1196
Songpeng et al.,834
Songpeng et al.,1592
Songpeng et al.,323
Songpeng et al.,241
Songpeng et al.,2350
Songpeng et al.,2562
Songpeng et al.,2383
Songpeng et al.,4896
Songpeng et al.,4741
Songpeng et al.,3593
Songpeng et al.,86
Songpeng et al.,179
Songpeng et al.,105
Songpeng et al.,15
Songpeng et al.,181
Songpeng et al.,4929
Songpeng et al.,4218
Songpeng et al.,454
Songpeng et al.,3175
Songpeng et al.,3174
Songpeng et al.,2546
Songpeng et al.,985
Songpeng et al.,745
Songpeng et al.,158
Songpeng et al.,842
Songpeng et al.,2488
Songpeng et al.,857
Songpeng et al.,2091
Songpeng et al.,2725
Songpeng et al.,3486
Songpeng et al.,435
Songpeng et al.,4532
Songpeng et al.,1432
Songpeng et al.,2338
Songpeng et al.,4817
Songpeng et al.,3532
Songpeng et al.,4889
Songpeng et al.,3317
Songpeng et al.,4614
Songpeng et al.,67
Songpeng et al.,523
Songpeng et al.,550
Songpeng et al.,106
Songpeng et al.,1270
Songpeng et al.,943
Songpeng et al.,5049
Songpeng et al.,854
Songpeng et al.,117
Songpeng et al.,1000
Songpeng et al.,1691
Songpeng et al.,71
Songpeng et al.,541
Songpeng et al.,2293
Songpeng et al.,1607
Songpeng et al.,918
Songpeng et al.,392
Songpeng et al.,921
Songpeng et al.,1429
Songpeng et al.,1705
Songpeng et al.,427
Songpeng et al.,1689
Songpeng et al.,3280
Songpeng et al.,5000
Songpeng et al.,2205
Songpeng et al.,2218
Songpeng et al.,4500
Songpeng et al.,3574
Songpeng et al.,2545
Songpeng et al.,2996
Songpeng et al.,3693
Songpeng et al.,132
Songpeng et al.,504
Songpeng et al.,155
Songpeng et al.,944
Songpeng et al.,910
Songpeng et al.,1792
Songpeng et al.,996
Songpeng et al.,3511
Songpeng et al.,849
Songpeng et al.,1338
Songpeng et al.,2480
Songpeng et al.,5125
Songpeng et al.,2347
Songpeng et al.,4523
Songpeng et al.,452
Songpeng et al.,3130
Songpeng et al.,4897
Songpeng et al.,3350
Songpeng et al.,3846
Songpeng et al.,108
Songpeng et al.,185
Songpeng et al.,393
Songpeng et al.,656
Songpeng et al.,275
Songpeng et al.,357
Songpeng et al.,5119
Songpeng et al.,2651
Songpeng et al.,4988
Songpeng et al.,77
Songpeng et al.,2690
Songpeng et al.,291
Songpeng et al.,2556
Songpeng et al.,993
Songpeng et al.,2534
Songpeng et al.,681
Songpeng et al.,5046
Songpeng et al.,3170
Songpeng et al.,5127
Songpeng et al.,5036
Songpeng et al.,2304
Songpeng et al.,5039
Songpeng et al.,2641
Songpeng et al.,3540
Songpeng et al.,3390
Songpeng et al.,4652
Songpeng et al.,2937
Songpeng et al.,2858
Songpeng et al.,4099
Songpeng et al.,3918
Songpeng et al.,3869
Songpeng et al.,64
Songpeng et al.,714
Songpeng et al.,194
Songpeng et al.,1088
Songpeng et al.,755
Songpeng et al.,511
Songpeng et al.,1203
Songpeng et al.,759
Songpeng et al.,1595
Songpeng et al.,843
Songpeng et al.,1333
Songpeng et al.,1754
Songpeng et al.,3478
Songpeng et al.,4708
Songpeng et al.,1147
Songpeng et al.,2233
Songpeng et al.,3147
Songpeng et al.,4352
Songpeng et al.,232
Songpeng et al.,508
Songpeng et al.,233
Songpeng et al.,25
Songpeng et al.,1797
Songpeng et al.,2559
Songpeng et al.,2539
Songpeng et al.,516
Songpeng et al.,2714
Songpeng et al.,1043
Songpeng et al.,821
Songpeng et al.,783
Songpeng et al.,965
Songpeng et al.,1031
Songpeng et al.,438
Songpeng et al.,2122
Songpeng et al.,5073
Songpeng et al.,2508
Songpeng et al.,2090
Songpeng et al.,3400
Songpeng et al.,4554
Songpeng et al.,3505
Songpeng et al.,3145
Songpeng et al.,618
Songpeng et al.,524
Songpeng et al.,176
Songpeng et al.,72
Songpeng et al.,606
Songpeng et al.,599
Songpeng et al.,387
Songpeng et al.,633
Songpeng et al.,528
Songpeng et al.,994
Songpeng et al.,877
Songpeng et al.,1064
Songpeng et al.,2252
Songpeng et al.,5137
Songpeng et al.,3603
Songpeng et al.,3558
Songpeng et al.,4868
Songpeng et al.,3579
Songpeng et al.,3509
Songpeng et al.,4050
Songpeng et al.,24727
Songpeng et al.,3984
Songpeng et al.,503
Songpeng et al.,506
Songpeng et al.,137
Songpeng et al.,646
Songpeng et al.,243
Songpeng et al.,2138
Songpeng et al.,4671
Songpeng et al.,3512
Songpeng et al.,3357
Songpeng et al.,2071
Songpeng et al.,1296
Songpeng et al.,543
Songpeng et al.,2289
Songpeng et al.,1115
Songpeng et al.,5024
Songpeng et al.,5408
Songpeng et al.,4786
Songpeng et al.,2084
Songpeng et al.,2052
Songpeng et al.,4992
Songpeng et al.,3037
Songpeng et al.,3050
Songpeng et al.,4382
Songpeng et al.,655
Songpeng et al.,188
Songpeng et al.,2617
Songpeng et al.,238
Songpeng et al.,268
Songpeng et al.,1231
Songpeng et al.,345
Songpeng et al.,5047
Songpeng et al.,2065
Songpeng et al.,4582
Songpeng et al.,1359
Songpeng et al.,779
Songpeng et al.,998
Songpeng et al.,962
Songpeng et al.,1555
Songpeng et al.,1204
Songpeng et al.,1225
Songpeng et al.,4721
Songpeng et al.,4748
Songpeng et al.,5056
Songpeng et al.,5019
Songpeng et al.,2358
Songpeng et al.,3282
Songpeng et al.,2561
Songpeng et al.,2086
Songpeng et al.,2093
Songpeng et al.,3048
Songpeng et al.,5062
Songpeng et al.,34314
Songpeng et al.,4255
Songpeng et al.,698
Songpeng et al.,63
Songpeng et al.,1080
Songpeng et al.,1076
Songpeng et al.,122
Songpeng et al.,201
Songpeng et al.,220
Songpeng et al.,14930
Songpeng et al.,1355
Songpeng et al.,1202
Songpeng et al.,892
Songpeng et al.,1481
Songpeng et al.,1773
