Study_ID|Celltype_1,Study_ID|Celltype_2
Macosko|Inh_Ppp1r1b_Drd2_Pde1a_Myo3b,Zeng|1057
Macosko|Inh_Ppp1r1b_Drd2_Stard8_1,Zeng|1075
Macosko|Inh_Sel1l3_Zfp385c_2,Zeng|1385
Macosko|Inh_Six3_Fgf15,Zeng|3169
Macosko|Inh_Six3_Gchfr_1,Zeng|3162
Macosko|Inh_Six3_Ikzf1_1,Zeng|3311
Macosko|Inh_Six3_Met_4,Zeng|3184
Macosko|Inh_Six3_Nkx2-2_Yap1,Zeng|3288
Macosko|Inh_Six6_Th,Zeng|1966
Macosko|Inh_Six6_Vipr2_10,Zeng|1467
Macosko|Inh_Six6_Vipr2_9,Zeng|1465
Macosko|Inh_Sncg_Sln_Plch2_1,Zeng|689
Macosko|Inh_Sox14_Skor1,Zeng|2032
Macosko|Inh_Sox1_Cd40,Zeng|3364
Macosko|Inh_Sox2_Ikzf1_8,Zeng|3465
Macosko|Inh_Sox6_Chrna2,Zeng|2994
