target_study,region,region_name,target_celltype,target_size,ref_celltype,AUROC,is_recip
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_7,460,Macosko|Inh_Nrk_Gpr176_2,0.999431466,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_8,70,Macosko|Inh_Nrk_Gpr176_2,0.998766411,FALSE
Sziraki,WMB,whole mouse brain,Sziraki|Purkinje neurons_9,208,Macosko|Inh_Nrk_Kctd16,0.996582704,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_1,2509,Macosko|Inh_Ppp1r1b_Drd1_Prima1,0.995577149,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_10,796,Macosko|Inh_Sidt1_Drd1_Npffr2_2,0.997899394,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_11,245,Macosko|Inh_Ppp1r1b_Drd2_Prima1,0.982229508,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_12,266,Macosko|Inh_Ppp1r1b_Drd2_Cyp26b1_2,0.990685221,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_13,127,Macosko|Inh_Ppp1r1b_Drd1_Pkib,0.983685161,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_2,633,Macosko|Inh_Ppp1r1b_Drd2_Sema5d_2,0.994640021,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_3,503,Macosko|Inh_Ppp1r1b_Drd1_Tacr1_1,0.995222617,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_4,818,Macosko|Inh_Ppp1r1b_Drd1_Pkib,0.991856754,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_5,586,Macosko|Inh_Ppp1r1b_Drd2_Pde1a_Myo3b,0.992105037,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_6,2061,Macosko|Inh_Ppp1r1b_Drd2_Prima1,0.994927978,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_7,706,Macosko|Inh_Ppp1r1b_Drd2_Atf3,0.992504348,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_8,310,Macosko|Inh_Ppp1r1b_Drd1_Pkib,0.997602937,TRUE
Sziraki,STR,Striatum,Sziraki|Striatal neurons 1_9,626,Macosko|Inh_Ppp1r1b_Drd1_Zp3r_2,0.993935385,FALSE
