cell_type,dendro_order,cell_type_short,study,study_type
Zeng|5030,2645,5030,Zeng,Cells
Zeng|5031,2646,5031,Zeng,Cells
Macosko|Ex_Plekhg1_Epha1_Slc17a8_1,2647,Ex_Plekhg1_Epha1_Slc17a8_1,Macosko,Nuclei
Zeng|5048,2648,5048,Zeng,Cells
Zeng|5049,2649,5049,Zeng,Cells
Macosko|Ex_Plekhg1_Epha1_Cd44_2,2650,Ex_Plekhg1_Epha1_Cd44_2,Macosko,Nuclei
Zeng|5038,2651,5038,Zeng,Cells
Macosko|Ex_Plekhg1_Epha1_Cd44_1,2652,Ex_Plekhg1_Epha1_Cd44_1,Macosko,Nuclei
Macosko|Ex_Plekhg1_Epha1_Smoc2_1,2653,Ex_Plekhg1_Epha1_Smoc2_1,Macosko,Nuclei
Zeng|5036,2654,5036,Zeng,Cells
Zeng|5039,2655,5039,Zeng,Cells
Zeng|5032,2656,5032,Zeng,Cells
Zeng|5045,2657,5045,Zeng,Cells
Macosko|Ex_Plekhg1_Pth2r_Frem3_1,2658,Ex_Plekhg1_Pth2r_Frem3_1,Macosko,Nuclei
Macosko|Ex_Plekhg1_Pth2r_Rxfp1_1,2659,Ex_Plekhg1_Pth2r_Rxfp1_1,Macosko,Nuclei
Macosko|Ex_Plekhg1_Pth2r_Rxfp1_2,2660,Ex_Plekhg1_Pth2r_Rxfp1_2,Macosko,Nuclei
Macosko|Ex_Plekhg1_Pth2r_Frem3_2,2661,Ex_Plekhg1_Pth2r_Frem3_2,Macosko,Nuclei
Zeng|5057,2662,5057,Zeng,Cells
Zeng|5046,2663,5046,Zeng,Cells
Macosko|Ex_Plekhg1_Pth2r_Slc17a8,2664,Ex_Plekhg1_Pth2r_Slc17a8,Macosko,Nuclei
Zeng|5089,2665,5089,Zeng,Cells
Macosko|Ex_Plekhg1_Adamtsl3_Slc17a8_1,2666,Ex_Plekhg1_Adamtsl3_Slc17a8_1,Macosko,Nuclei
Zeng|5044,2667,5044,Zeng,Cells
Zeng|5068,2668,5068,Zeng,Cells
Macosko|Ex_Plekhg1_Fign_Tnnt1_2,2669,Ex_Plekhg1_Fign_Tnnt1_2,Macosko,Nuclei
Zeng|5075,2670,5075,Zeng,Cells
Macosko|Ex_Plekhg1_Tspear_C6_1,2671,Ex_Plekhg1_Tspear_C6_1,Macosko,Nuclei
Zeng|5050,2672,5050,Zeng,Cells
Macosko|Ex_Plekhg1_Tspear_C6_3,2673,Ex_Plekhg1_Tspear_C6_3,Macosko,Nuclei
Macosko|Ex_Plekhg1_Tspear_C6_2,2674,Ex_Plekhg1_Tspear_C6_2,Macosko,Nuclei
Macosko|Ex_Plekhg1_Tspear_C6_4,2675,Ex_Plekhg1_Tspear_C6_4,Macosko,Nuclei
Zeng|5062,2676,5062,Zeng,Cells
Zeng|5060,2677,5060,Zeng,Cells
Zeng|5061,2678,5061,Zeng,Cells
Zeng|5033,2679,5033,Zeng,Cells
Zeng|5035,2680,5035,Zeng,Cells
Zeng|5069,2681,5069,Zeng,Cells
Macosko|Ex_Plekhg1_Fign_Ppp1r3a_1,2682,Ex_Plekhg1_Fign_Ppp1r3a_1,Macosko,Nuclei
