...1,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
1001,Zeng|4492,Macosko|Ex_Ebf2_Slc38a11,1,Reciprocal_top_hit
6256,Zeng|726,Macosko|Inh_Lhx6_Car8_2,1,Reciprocal_top_hit
6326,Zeng|1234,Macosko|Inh_Lhx6_Esr2_3,1,Reciprocal_top_hit
465,Zeng|4744,Macosko|Ex_C1ql4_Trhr_7,1,Reciprocal_top_hit
1286,Zeng|341,Macosko|Ex_Fezf2_Nts,1,Reciprocal_top_hit
3948,Zeng|2778,Macosko|Ex_Tfap2b_Ccdc172_Calcr,1,Reciprocal_top_hit
7190,Zeng|4448,Macosko|Inh_Pax2_Gbx1_Mboat1_1,1,Reciprocal_top_hit
740,Zeng|1401,Macosko|Ex_Dsp_Atf3_3,1,Reciprocal_top_hit
2672,Zeng|4701,Macosko|Ex_Pax6_Qrfprl_2,1,Reciprocal_top_hit
1545,Zeng|3824,Macosko|Ex_Hoxc6_Hpse_2,1,Reciprocal_top_hit
